pmid	year	journal	author	title	queries	pubtype
28375666	2017	Am J Respir Cell Mol Biol	Sasse SK	Glucocorticoid Receptor ChIP-Seq Identifies PLCD1 as a KLF15 Target that Represses Airway Smooth Muscle Hypertrophy.	P13_lung_immune_chip;P15_direct_targets;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names;P8_tf_perturb_rna	Journal Article;Research Support, N.I.H., Extramural
36777184	2023	Cell Genom	Koh KD	Genomic characterization and therapeutic utilization of IL-13-responsive sequences in asthma.	P14_variant_tf_binding;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names;P4_encode_cellline;P7_perturbseq	Journal Article
36252121	2022	Circ Res	Wang C	MED1 Regulates BMP/TGF-β in Endothelium: Implication for Pulmonary Hypertension.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P5_lung_atac_footprint;P6_lung_3d	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural
39629132	2024	Theranostics	Chen X	Characterization of dipyridamole as a novel ferroptosis inhibitor and its therapeutic potential in acute respiratory distress syndrome management.	P12_mouse_lung_chip;P13_lung_immune_chip;P14_variant_tf_binding;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
42239439	2026	bioRxiv	Vasilaki E	Identification of drug candidates for rescue of SOX17 gene targets in pulmonary arterial hypertension.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P8_tf_perturb_rna	Journal Article;Preprint
32374672	2020	Am J Physiol Lung Cell Mol Physiol	Zhong Y	IL-1β dysregulates cGMP signaling in the newborn lung.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
35675437	2022	Sci Transl Med	Chelladurai P	Epigenetic reactivation of transcriptional programs orchestrating fetal lung development in human pulmonary hypertension.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't
36796505	2023	Int J Biochem Cell Biol	Kurotani R	Secretoglobin 3A2 protects lung from developing cigarette smoke-induced pulmonary emphysema.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Intramural
37953063	2024	Phytother Res	Li Y	Salvianolic acid B protects against pulmonary fibrosis by attenuating stimulating protein 1-mediated macrophage and alveolar type 2 cell senescence.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40617369	2025	Cell Signal	Wang J	STAT5/VCAN/PI3K signaling pathway promotes fibroblast activation and lung fibrosis.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41109655	2025	Cell Signal	Zhang J	Bmi-1 overexpression mitigates vitamin D deficiency-induced pulmonary fibrosis via TIME pathway.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40081619	2025	Biochim Biophys Acta Mol Basis Dis	Zhou Y	MBD2 promotes epithelial-to-mesenchymal transition (EMT) and ARDS-related pulmonary fibrosis by modulating FZD2.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
39891210	2025	Respir Res	Li D	Targeting BRD4 ameliorates experimental emphysema by disrupting super-enhancer in polarized alveolar macrophage.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40813717	2025	Hereditas	Miao X	TFAP2A promotes NSCLC malignant progression by enhancing AOC1 transcription.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
40808655	2025	Arterioscler Thromb Vasc Biol	Garnier O	Efficient Fine-Tuning of Endothelial Gene Expression by a Single Tyrosine (Y(685)) to Phenylalanine Point Mutation in the VE-Cadherin Gene.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41491061	2026	Cell Mol Life Sci	Ma C	Super enhancer-driven LINC01013 mediates hypoxia-induced mitochondrial dysfunction by HSPA9 to determine pulmonary arterial smooth muscle cell fate.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P6_lung_3d	Journal Article
42510567	2026	Antioxidants (Basel)	Guo C	Tanshinone IIA Attenuates Pulmonary Fibrosis via Dual Inhibition of JNK and Smad Signaling.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
42361513	2026	Mol Immunol	Yan L	Overexpression of Hes1 inhibits cigarette smoke-induced mitochondrial apoptosis in AT2 cells by activating the Pgc-1α/Tfam signaling pathway.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
42111708	2026	Curr Res Toxicol	Pluempreecha M	Protective role of calcitriol in PM2.5-induced apoptosis and inflammation in bronchial epithelial cells in vitro via vitamin D receptor-mediated Nrf2 signaling.	P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names;P4_encode_cellline	Journal Article
41976096	2026	Animals (Basel)	Jiang J	Multiomic Profiling Reveals the Regulation of Many Immune-Related Genes by PU.1 in Porcine Alveolar Macrophages.	P13_lung_immune_chip;P15_direct_targets;P1_lung_chip_tf;P8_tf_perturb_rna	Journal Article
41764855	2026	Eur J Cell Biol	Wang P	TGF-β drives pulmonary fibrosis through dual dysregulation of TNF pathway transcription and splicing.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
41708397	2026	Allergol Int	Xu C	Early growth response 2 as a target of IL-13/STAT6 signaling induces the goblet cell metaplasia of allergic airway epithelia.	P15_direct_targets;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
41606738	2026	Respir Res	Dang Q	Downregulation of SLC40A1 leads to iron accumulation in fibrotic lung fibroblasts.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
25140582	2015	Am J Respir Cell Mol Biol	Hu B	Reemergence of hedgehog mediates epithelial-mesenchymal crosstalk in pulmonary fibrosis.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, N.I.H., Extramural
27095594	2016	Sci Signal	Cai Y	FOXF1 maintains endothelial barrier function and prevents edema after lung injury.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, N.I.H., Extramural
29299165	2017	Oncotarget	Xu Y	GATA3-induced vWF upregulation in the lung adenocarcinoma vasculature.	P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
29432416	2018	PLoS Genet	Hagey DW	SOX2 regulates common and specific stem cell features in the CNS and endoderm derived organs.	P14_variant_tf_binding;P1_lung_chip_tf;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't
31278070	2019	EBioMedicine	Hu G	Vitamin D(3)-vitamin D receptor axis suppresses pulmonary emphysema by maintaining alveolar macrophage homeostasis and function.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
31761621	2019	EBioMedicine	Tandon N	Aberrant expression of embryonic mesendoderm factor MESP1 promotes tumorigenesis.	P12_mouse_lung_chip;P15_direct_targets;P8_tf_perturb_rna	Journal Article
32692930	2020	Am J Respir Crit Care Med	Fan Y	TWIST1 Drives Smooth Muscle Cell Proliferation in Pulmonary Hypertension via Loss of GATA-6 and BMPR2.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
32329870	2020	Eur Rev Med Pharmacol Sci	Xu F	PM2.5 exposure induces alveolar epithelial cell apoptosis and causes emphysema through p53/Siva-1.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
32500120	2020	NAR Genom Bioinform	Stuart WD	CRISPRi-mediated functional analysis of lung disease-associated loci at non-coding regions.	P2_lung_chip_disease;P6_lung_3d;P7_perturbseq	Journal Article
32143622	2020	BMC Med Genomics	Cai WL	Specific chromatin landscapes and transcription factors couple breast cancer subtype with metastatic relapse to lung or brain.	P13_lung_immune_chip;P5_lung_atac_footprint;P6_lung_3d	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.
33322916	2021	Circ Res	Hennigs JK	PPARγ-p53-Mediated Vasculoregenerative Program to Reverse Pulmonary Hypertension.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't
33980985	2021	Commun Biol	Stuart WD	CRISPRi-mediated functional analysis of NKX2-1-binding sites in the lung.	P1_lung_chip_tf;P3_lung_tf_names;P7_perturbseq	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't
33663392	2021	Mol Med	Ding H	TGF-β-induced α-SMA expression is mediated by C/EBPβ acetylation in human alveolar epithelial cells.	P13_lung_immune_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article;Research Support, Non-U.S. Gov't
33625469	2021	J Cell Biol	Jones DL	ZNF416 is a pivotal transcriptional regulator of fibroblast mechanoactivation.	P13_lung_immune_chip;P2_lung_chip_disease;P5_lung_atac_footprint	Journal Article;Research Support, N.I.H., Extramural
34791825	2022	Adv Sci (Weinh)	Tang PC	Smad3 Promotes Cancer-Associated Fibroblasts Generation via Macrophage-Myofibroblast Transition.	P13_lung_immune_chip;P1_lung_chip_tf;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't
36014574	2022	Molecules	Xu P	MOBT Alleviates Pulmonary Fibrosis through an lncITPF-hnRNP-l-Complex-Mediated Signaling Pathway.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
34971648	2022	J Allergy Clin Immunol	Kan M	Multiomics analysis identifies BIRC3 as a novel glucocorticoid response-associated gene.	P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural
34643340	2022	Pediatr Pulmonol	Sun X	CCCTC-binding factor transcriptionally regulates Galectin-7 and activates the JNK/STAT3 axis to aggravate bronchial epithelial cell injury.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article;Research Support, Non-U.S. Gov't
35782530	2022	Infect Drug Resist	Xia D	CCL25 Inhibition Alleviates Sepsis-Induced Acute Lung Injury and Inflammation.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
35977797	2022	J Immunol	Ejima A	Androgens Alleviate Allergic Airway Inflammation by Suppressing Cytokine Production in Th2 Cells.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
35861841	2022	J Am Heart Assoc	Huang CX	Hsa_circ_0016070/micro-340-5p Axis Accelerates Pulmonary Arterial Hypertension Progression by Upregulating TWIST1 Transcription Via TCF4/β-Catenin Complex.	P13_lung_immune_chip;P15_direct_targets;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
36086974	2022	Allergol Immunopathol (Madr)	Chen Q	Inhibition of KLF6 reduces the inflammation and apoptosis of type II alveolar epithelial cells in acute lung injury.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
35093061	2022	Respir Res	Wu W	Epithelial microRNA-30a-3p targets RUNX2/HMGB1 axis to suppress airway eosinophilic inflammation in asthma.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
36578010	2022	Respir Res	Cheng WH	Amphiregulin induces CCN2 and fibronectin expression by TGF-β through EGFR-dependent pathway in lung epithelial cells.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
34920961	2022	Cytotherapy	Wang QL	Sirtuin 6 regulates macrophage polarization to alleviate sepsis-induced acute respiratory distress syndrome via dual mechanisms dependent on and independent of autophagy.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
37128280	2023	Int J Anal Chem	Du J	Transcription Factor E2F1 Regulates the Expression of ADRB2.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
38173934	2023	Front Physiol	Sponchiado M	Club cell CREB regulates the goblet cell transcriptional network and pro-mucin effects of IL-1B.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
37067057	2023	Cancer Res	Tomoshige K	FOXA2 Cooperates with Mutant KRAS to Drive Invasive Mucinous Adenocarcinoma of the Lung.	P12_mouse_lung_chip;P1_lung_chip_tf;P3_lung_tf_names	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't
37490064	2023	Lung	Yang M	ETS1 Ameliorates Hyperoxia-Induced Bronchopulmonary Dysplasia in Mice by Activating Nrf2/HO-1 Mediated Ferroptosis.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article;Research Support, Non-U.S. Gov't
36462334	2023	Int Immunopharmacol	Wang A	IFIH1/IRF1/STAT1 promotes sepsis associated inflammatory lung injury via activating macrophage M1 polarization.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
37052859	2023	FASEB J	Ma C	The HIF-1α/miR-26a-5p/PFKFB3/ULK1/2 axis regulates vascular remodeling in hypoxia-induced pulmonary hypertension by modulation of autophagy.	P13_lung_immune_chip;P15_direct_targets;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
36427449	2023	Mol Immunol	Xu M	Knockdown of Brg1 reduced mucus secretion in HDM stimulated airway inflammation.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
36332388	2023	Phytomedicine	Mei X	Apigenin suppresses mycoplasma-induced alveolar macrophages necroptosis via enhancing the methylation of TNF-α promoter by PPARγ-Uhrf1 axis.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
39075504	2024	J Exp Clin Cancer Res	Chen Y	Pericytes recruited by CCL28 promote vascular normalization after anti-angiogenesis therapy through RA/RXRA/ANGPT1 pathway in lung adenocarcinoma.	P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
39739870	2024	PLoS One	Shirota Y	GATA2 participates in protection against hypoxia-induced pulmonary vascular remodeling.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, N.I.H., Extramural
38397056	2024	Int J Mol Sci	Zhao L	ELK1/MTOR/S6K1 Pathway Contributes to Acquired Resistance to Gefitinib in Non-Small Cell Lung Cancer.	P12_mouse_lung_chip;P14_variant_tf_binding;P1_lung_chip_tf	Journal Article
38993791	2024	Genes Dis	Gu L	Profibrotic role of the SOX9-MMP10-ECM biosynthesis axis in the tracheal fibrosis after injury and repair.	P15_direct_targets;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
38310188	2024	Cardiovasc Toxicol	Tang L	Blockade of ZFX Alleviates Hypoxia-Induced Pulmonary Vascular Remodeling by Regulating the YAP Signaling.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
38267617	2024	Biochem Genet	Xu C	The miR-9-5p/KLF5/IL-1β Axis Regulates Airway Smooth Muscle Cell Proliferation and Apoptosis to Aggravate Airway Remodeling and Inflammation in Asthma.	P13_lung_immune_chip;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
40464702	2025	J Cell Mol Med	Wang Y	STAT3 Facilitates Super Enhancer Formation to Promote Fibroblast-To-Myofibroblast Differentiation by the Analysis of ATAC-Seq, RNA-Seq and ChIP-Seq.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Review;Research Support, Non-U.S. Gov't
40749046	2025	Sci Adv	Liu G	BACH2 drives the development and function of group 2 innate lymphoid cells.	P1_lung_chip_tf;P2_lung_chip_disease;P5_lung_atac_footprint	Journal Article
40403491	2025	Redox Biol	Li X	MOTS-c attenuates lung ischemia-reperfusion injury via MYH9-Dependent nuclear translocation and transcriptional activation of antioxidant genes.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
40544764	2025	Biochem Biophys Res Commun	Dayalan Naidu S	CD5L is a target of transcription factor Nrf2.	P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't
40639051	2025	Int Immunopharmacol	Wan L	Hypoxia-induced tumor cell-intrinsic PLAU activation drives immunotherapy resistance in collagenic lung adenocarcinoma.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41456650	2025	J Adv Res	Wang Y	Endoplasmic reticulum stress exacerbates ischemia-reperfusion-induced pulmonary endothelial barrier dysfunction by activating TXNDC5.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40816456	2025	Dev Biol	Frenette B	HOXA5-driven transcriptional program in lung development.	P12_mouse_lung_chip;P1_lung_chip_tf;P5_lung_atac_footprint	Journal Article
40755294	2025	Adv Sci (Weinh)	Wang Z	Nrf2 Drives Epigenetic Reprogramming and Acts as the Master Regulator of KLF4 Expression and Activity in Arsenic-Induced Transformation.	P1_lung_chip_tf;P3_lung_tf_names;P4_encode_cellline	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't
40530493	2025	J Am Heart Assoc	Zhang J	Circ-myh8/KAT7 Affects PANoptosis in Pulmonary Arterial Smooth Muscle Cells: Involvement of Super-Enhancers in FOSL2 Expression.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40481144	2025	Commun Biol	Zhang J	Unraveling the SOX11-IGF2 signaling axis in early lung development: implications for lung disease.	P12_mouse_lung_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
40049282	2025	Toxicology	Liu S	H3K18 lactylation-mediated SIX1 upregulation contributes to silica-induced epithelial-mesenchymal transition in airway epithelial cells.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article;Research Support, Non-U.S. Gov't
40241046	2025	Respir Res	Zhang J	The transcription factor PITX1 cooperates with super-enhancers to regulate the expression of DUSP4 and inhibit pyroptosis in pulmonary artery smooth muscle cells.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40099944	2025	Genes Chromosomes Cancer	Yaa RM	Chromatin Interaction and Histone Mark Signatures Associated With TBXT Expression in Metastatic Lung Cancer.	P1_lung_chip_tf;P4_encode_cellline;P6_lung_3d	Journal Article;Research Support, Non-U.S. Gov't
41516283	2025	Int J Mol Sci	Popov AV	Search for Potential VDR/Partner Composite Elements in Regulatory DNA of Genes Associated with Respiratory Infections and Atopic Diseases.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41439287	2025	Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi	Yuan Y	[Expression of SOX9 in pulmonary fibrosis and its effects on caveolin-1 gene expression].	P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	English Abstract;Journal Article
41402807	2025	Respir Res	Wang YB	DNMT1 deficiency promotes pulmonary vascular remodeling in pulmonary hypertension through epigenetic upregulation of BMP7.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41158338	2025	J Thorac Dis	Lv H	USP7-mediated stabilization of CXCL3 aggravates inflammation in models of acute lung injury.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41019036	2025	Front Immunol	Liu G	IKZF1 exacerbates the inflammatory response by epigenetically modulating mitochondrial function following acute peritonitis.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40674542	2025	J Cardiovasc Pharmacol	Zhu M	Fibroblast Activation Protein Promotes Pulmonary Artery Hypertension via Activation of the PTEN/PI3K/Akt Pathway.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40526574	2025	Inhal Toxicol	Zheng Z	The Fli1 transcription factor aggravates lipopolysaccharide-induced human pulmonary microvascular endothelial cell dysfunction by regulating CXCL2 promoter.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40372772	2025	J Leukoc Biol	Gao KC	E26 transformation-specific-1 controls asthma development by regulating the CD4+ Th2/Th17 immune response involved transcription factors in active genomic transcriptional regions.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40336475	2025	Arterioscler Thromb Vasc Biol	Zhu X	Super-Enhancer-Driven LncRNA UNC5B-AS1 Inhibits Inflammatory Phenotypic Transition in Pulmonary Artery Smooth Muscle Cells via Lactylation.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40180699	2025	Cell Biochem Biophys	Li Y	The Effects and Mechanisms of the YY1/EGFR Axis on Inflammation and Oxidative Stress in Asthma.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
40065336	2025	Respir Res	Wang Y	Modulation of the Epithelial-mesenchymal transition process by Forkhead Box C2 in the repair of airway epithelium after injury.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
39980707	2025	Pulm Circ	Cai Y	RNA-Seq and ChIP-Seq Identification of Unique and Overlapping Target Genes and Pathways Regulated by TBX4 in Human Pulmonary Fibroblasts and Pericytes.	P15_direct_targets;P1_lung_chip_tf;P8_tf_perturb_rna	Journal Article
39966984	2025	J Transl Med	Zhao Y	Integrated analysis reveals that EGR1 promotes epithelial IL33 production in T2 asthma.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
39996311	2025	Circ Res	Zhang J	ASH2L Deficiency in Smooth Muscle Drives Pulmonary Vascular Remodeling.	P13_lung_immune_chip;P2_lung_chip_disease;P9_lung_ppi	Journal Article
40348760	2025	Nat Commun	Seasock MJ	Let-7 restrains an epigenetic circuit in AT2 cells to prevent fibrogenic intermediates in pulmonary fibrosis.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
40504501	2025	Cardiovasc Res	Yamada K	CTRP7 as a molecular biomarker associating with responsiveness to pulmonary vasodilators: insights from human and animal studies in pulmonary arterial hypertension.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
38826218	2025	bioRxiv	Seasock MJ	Let-7 restrains an oncogenic circuit in AT2 cells to prevent fibrogenic cell intermediates in pulmonary fibrosis.	P12_mouse_lung_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article;Preprint
40504462	2025	Inflammation	Wang X	AR Deficiency Protects Against Sepsis-Induced Acute Lung Injury by Inhibiting Macrophage M1 Polarization and Inflammatory Cytokine Secretion.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
41351040	2025	Cell Mol Biol Lett	Wang X	tsRNA-3040b accumulates R-loop to regulate Trim35 transcription, which leads to disordered glycolysis and promotes PAECs proliferation.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease	Journal Article
39904774	2025	Cancer Immunol Immunother	Yao Y	Targeting HVEM-GPT2 axis: a novel approach to T cell activation and metabolic reprogramming in non-small cell lung cancer therapy.	P12_mouse_lung_chip;P13_lung_immune_chip;P4_encode_cellline	Journal Article
42152052	2026	Respir Res	Qu T	Snhg18 promotes hypoxic pulmonary hypertension by enhancing glycolysis.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41504242	2026	Cell Cycle	Freewoman JM	Locus-specific transcriptional regulation of transposable elements by p53.	P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
41052458	2026	Am J Respir Crit Care Med	Kim EG	p300-Dependent modulation in regulatory T cells plays a crucial role in allergic asthma.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
41964031	2026	J Transl Med	He S	IGFBP2 promotes immunosuppression by regulating macrophage PD-L1 expression in NEUROD1-high small cell lung cancer.	P13_lung_immune_chip;P1_lung_chip_tf;P3_lung_tf_names	Journal Article
41339492	2026	Cancer Gene Ther	Tan X	AP-1 promotes oncogenic transcription in lung cancer cells by bridging promoter-enhancer interactions.	P1_lung_chip_tf;P5_lung_atac_footprint;P6_lung_3d	Journal Article
42373667	2026	Nat Commun	Gao W	Emergence of fibrotic pericytes and their transcriptional regulation in pulmonary fibrosis.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41522357	2026	Int J Biol Sci	Chen A	Zinc-Induced PKCδ-dependent Phosphorylation of MTF-1 Promotes Pulmonary Vascular Remodeling in Hypoxic Pulmonary Hypertension.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
41665976	2026	Clin Transl Med	Cao M	BACH2 alleviates immune checkpoint inhibitors-induced cardiac pyroptosis via transcriptionally promoting GRSF1.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
42582092	2026	Front Immunol	Xu X	IRF1 mediates airway epithelial innate memory through priming BRD4- EP300 activity.	P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names	Journal Article
42579020	2026	J Bioenerg Biomembr	Zhang D	M2 macrophage-derived exosomal EHF transcriptionally activates FGFR1 to promote malignant phenotypes and glycolysis in NSCLC.	P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
42540261	2026	Oncol Lett	Hu N	FOXA2 enhances anoikis sensitivity in lung adenocarcinoma cells: Dual role of ABCA8 upregulation and NOX4 suppression.	P1_lung_chip_tf;P3_lung_tf_names;P4_encode_cellline	Journal Article
42470544	2026	J Mol Histol	Li L	Human chorionic membrane mesenchymal stem cell-conditioned medium activates the SOX18/MECP2 axis to protect against sepsis-induced lung injury.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
42390016	2026	Biofactors	Hou P	Dauriporphine Inhibits the Proliferation, Migration, Angiogenesis, and Glycolysis in Lung Cancer Cells by Repressing PGK1 Expression via CEBPA.	P1_lung_chip_tf;P3_lung_tf_names;P4_encode_cellline	Journal Article
42372476	2026	Pathol Res Pract	Yang Q	Taraxerol targets the HIF1A-NEK6 axis to block TDE-mediated M2 macrophage polarization and inhibits NSCLC progression.	P13_lung_immune_chip;P1_lung_chip_tf;P4_encode_cellline	Journal Article
42327952	2026	Research (Wash D C)	Bai Q	PCK2-Mediated PQBP1 Lactylation Promotes Asthmatic Inflammation through PRMT5 Inhibition.	P12_mouse_lung_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
42245128	2026	Cent Eur J Immunol	Fan X	KLF14 restrained NLRP3-mediated pyroptosis in sepsis-induced acute lung injury by activating DTX3L.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
42235626	2026	Cell Signal	Chen S	IRF5 promotes the polarization of M1 macrophages and aggravates pulmonary inflammation in connective tissue disease-related interstitial lung disease (CTD-ILD) by regulating IFN-β.	P13_lung_immune_chip;P14_variant_tf_binding;P1_lung_chip_tf	Journal Article
42228271	2026	Mol Cell Biochem	Tang H	Anemoside B4 inhibits mitochondrial dysfunction-related mitophagy in asthma by regulating KAT2B/IRF3 axis.	P1_lung_chip_tf;P2_lung_chip_disease;P4_encode_cellline	Journal Article
