pmid	year	journal	type	queries	title
32154289	2020	ERJ Open Res	Journal Article;Review	Q4_lung_atlas	ERS International Congress, Madrid, 2019: highlights from the Basic and Translational Science Assembly.
31855703	2020	Lung Cancer	Journal Article;Research Support, Non-U.S. Gov't	Q4_lung_atlas	Next-generation sequencing informs diagnosis and identifies unexpected therapeutic targets in lung squamous cell carcinomas.
32493933	2020	Nat Commun	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q5_lung_chipseq_tf	Activation of JUN in fibroblasts promotes pro-fibrotic programme and modulates protective immunity.
32415222	2020	Acta Pharmacol Sin	Journal Article	Q5_lung_chipseq_tf	Chromatin accessibility analysis reveals that TFAP2A promotes angiogenesis in acquired resistance to anlotinib in lung cancer cells.
32251359	2020	Sci Rep	Journal Article;Research Support, U.S. Gov't, Non-P.H.S.	Q5_lung_chipseq_tf	Systematic alteration of ATAC-seq for profiling open chromatin in cryopreserved nuclei preparations from livestock tissues.
32143622	2020	BMC Med Genomics	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q5_lung_chipseq_tf	Specific chromatin landscapes and transcription factors couple breast cancer subtype with metastatic relapse to lung or brain.
33391253	2020	Front Immunol	Journal Article;Review	Q8_ipf_tf	Signaling Pathways Implicated in Carbon Nanotube-Induced Lung Inflammation.
32946266	2020	Am J Respir Cell Mol Biol	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	FOXL1 Regulates Lung Fibroblast Function via Multiple Mechanisms.
32857676	2020	Tissue Barriers	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	HMGB1 enhances epithelial permeability via p63/TGF-β signaling in lung and terminal bronchial epithelial cells.
32848140	2020	Cell Death Dis	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	LncRNA Hoxaas3 promotes lung fibroblast activation and fibrosis by targeting miR-450b-5p to regulate Runx1.
32761869	2020	EMBO Mol Med	Journal Article;Research Support, N.I.H., Extramural	Q8_ipf_tf	Inhibition of Aurora Kinase B attenuates fibroblast activation and pulmonary fibrosis.
32708589	2020	Int J Mol Sci	Journal Article	Q8_ipf_tf	The Transcription Factor SCX is a Potential Serum Biomarker of Fibrotic Diseases.
32668192	2020	Am J Respir Cell Mol Biol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.	Q8_ipf_tf	TGF-β Promotes Metabolic Reprogramming in Lung Fibroblasts via mTORC1-dependent ATF4 Activation.
32596346	2020	Biomed Res Int	Journal Article	Q8_ipf_tf	Integrated Analysis of a Gene Correlation Network Identifies Critical Regulation of Fibrosis by lncRNAs and TFs in Idiopathic Pulmonary Fibrosis.
32572892	2020	Eur Rev Med Pharmacol Sci	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	MiR-340-5p mitigates the proliferation and activation of fibroblast in lung fibrosis by targeting TGF-β/p38/ATF1 signaling pathway.
32551949	2020	Am J Respir Cell Mol Biol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.	Q8_ipf_tf	ATF4 Mediates Mitochondrial Unfolded Protein Response in Alveolar Epithelial Cells.
32396525	2020	Aging (Albany NY)	Journal Article	Q8_ipf_tf	Transcription factor YY1 inhibits the expression of THY1 to promote interstitial pulmonary fibrosis by activating the HSF1/miR-214 axis.
32349726	2020	BMC Pulm Med	Journal Article	Q8_ipf_tf	The dietary antioxidant quercetin reduces hallmarks of bleomycin-induced lung fibrogenesis in mice.
32315288	2020	JCI Insight	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Age-dependent regulation of cell-mediated collagen turnover.
32271749	2020	PLoS Genet	Journal Article;Research Support, N.I.H., Extramural	Q8_ipf_tf	Loss of FOXM1 in macrophages promotes pulmonary fibrosis by activating p38 MAPK signaling pathway.
32135188	2020	Cell Signal	Journal Article;Research Support, Non-U.S. Gov't;Review	Q8_ipf_tf	Non-coding RNAs and nuclear architecture during epithelial-mesenchymal transition in lung cancer and idiopathic pulmonary fibrosis.
32000779	2020	Respir Res	Journal Article	Q8_ipf_tf	Periostin plays a critical role in the cell cycle in lung fibroblasts.
31962055	2020	Am J Respir Cell Mol Biol	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q8_ipf_tf	Impaired Myofibroblast Dedifferentiation Contributes to Nonresolving Fibrosis in Aging.
31879343	2020	Proc Natl Acad Sci U S A	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	The circadian clock protein REVERBα inhibits pulmonary fibrosis development.
31877385	2020	Int J Biochem Cell Biol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Loss of ELK1 has differential effects on age-dependent organ fibrosis.
31874933	2020	J Investig Med	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	FOXO3a is stabilized by USP18-mediated de-ISGylation and inhibits TGF-β1-induced fibronectin expression.
32982206	2020	Int J Chron Obstruct Pulmon Dis	Journal Article	Q9_copd_asthma_tf	Construction of Potential miRNA-mRNA Regulatory Network in COPD Plasma by Bioinformatics Analysis.
32966991	2020	Public Health Genomics	Systematic Review;Journal Article	Q9_copd_asthma_tf	SNPs in Sites for DNA Methylation, Transcription Factor Binding, and miRNA Targets Leading to Allele-Specific Gene Expression and Contributing to Complex Disease Risk: A Systematic Review.
32770056	2020	Sci Rep	Journal Article;Meta-Analysis;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	Transcriptomic analysis delineates potential signature genes and miRNAs associated with the pathogenesis of asthma.
32732938	2020	Sci Rep	Journal Article;Research Support, N.I.H., Extramural	Q9_copd_asthma_tf	Immune network dysregulation precedes clinical diagnosis of asthma.
32705270	2020	Mol Med Rep	Journal Article	Q9_copd_asthma_tf	Genome‑wide analysis of DNA methylation and gene expression changes in an ovalbumin‑induced asthma mouse model.
32574817	2020	Nitric Oxide	Journal Article;Research Support, Non-U.S. Gov't;Review	Q9_copd_asthma_tf	Electrophilic nitrated fatty acids are potential therapeutic candidates for inflammatory and fibrotic lung diseases.
32565880	2020	Comput Math Methods Med	Journal Article	Q9_copd_asthma_tf	CUL1-Mediated Organelle Fission Pathway Inhibits the Development of Chronic Obstructive Pulmonary Disease.
32543224	2020	Epigenomics	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	Identification of CDC5L as bridge gene between chronic obstructive pulmonary disease and lung adenocarcinoma.
32175425	2020	Ann Transl Med	Journal Article;Review	Q9_copd_asthma_tf	The application of proteomics in the diagnosis and treatment of bronchial asthma.
32055858	2020	Database (Oxford)	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	GREG-studying transcriptional regulation using integrative graph databases.
35127731	2021	Front Cell Dev Biol	Journal Article	Q2_scenic_lung	Single-Cell RNA-Seq Reveals the Promoting Role of Ferroptosis Tendency During Lung Adenocarcinoma EMT Progression.
34804043	2021	Front Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Single-Cell RNA Sequencing Reveals the Heterogeneity of Tumor-Associated Macrophage in Non-Small Cell Lung Cancer and Differences Between Sexes.
34721344	2021	Front Microbiol	Journal Article	Q2_scenic_lung	Transcriptional Response of Mycobacterium tuberculosis to Cigarette Smoke Condensate.
33989345	2021	PLoS Pathog	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q2_scenic_lung	Zinc limitation triggers anticipatory adaptations in Mycobacterium tuberculosis.
33300860	2021	J Med Microbiol	Journal Article	Q2_scenic_lung	Differential susceptibility of airway and ocular surface cell lines to FlhDC-mediated virulence factors PhlA and ShlA from Serratia marcescens.
34873160	2021	Nat Commun	Journal Article;Research Support, Non-U.S. Gov't	Q4_lung_atlas	Single cell atlas for 11 non-model mammals, reptiles and birds.
34429332	2021	J Immunother Cancer	Clinical Trial, Phase II;Journal Article;Multicenter Study;Research Support, N.I.H., Extramural	Q4_lung_atlas	Phase II study of durvalumab plus tremelimumab as therapy for patients with previously treated anti-PD-1/PD-L1 resistant stage IV squamous cell lung cancer (Lung-MAP substudy S1400F, NCT03373760).
34356057	2021	Genes (Basel)	Journal Article;Research Support, Non-U.S. Gov't	Q4_lung_atlas	Bioinformatics Analysis of Allele Frequencies and Expression Patterns of ACE2, TMPRSS2 and FURIN in Different Populations and Susceptibility to SARS-CoV-2.
34264316	2021	JAMA Oncol	Clinical Trial, Phase III;Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural	Q4_lung_atlas	Nivolumab Plus Ipilimumab vs Nivolumab for Previously Treated Patients With Stage IV Squamous Cell Lung Cancer: The Lung-MAP S1400I Phase 3 Randomized Clinical Trial.
33879399	2021	Clin Lung Cancer	Editorial	Q4_lung_atlas	Novel Clinical Trial Designs in Pursuit of Precision Oncology: Lung-MAP As a Model.
33797955	2021	JCO Oncol Pract	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q4_lung_atlas	Patient Knowledge and Expectations About Return of Genomic Results in a Biomarker-Driven Master Protocol Trial (SWOG S1400GEN).
33795635	2021	Signal Transduct Target Ther	Journal Article;Research Support, Non-U.S. Gov't;Comment	Q4_lung_atlas	Therapeutic utility of Lung-MAP: ushering into an era of genomic and biomarker-driven clinical trials.
33644039	2021	Front Cell Dev Biol	Journal Article	Q4_lung_atlas	FOntCell: Fusion of Ontologies of Cells.
33583720	2021	Clin Lung Cancer	Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural	Q4_lung_atlas	Phase 2 Study of Talazoparib in Patients With Homologous Recombination Repair-Deficient Squamous Cell Lung Cancer: Lung-MAP Substudy S1400G.
33358401	2021	Clin Lung Cancer	Clinical Trial, Phase II;Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q4_lung_atlas	SWOG S1400A (NCT02154490): A Phase II Study of Durvalumab for Patients With Previously Treated Stage IV or Recurrent Squamous Cell Lung Cancer (Lung-MAP Sub-study).
33221175	2021	Clin Lung Cancer	Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural	Q4_lung_atlas	A Phase II Study of Telisotuzumab Vedotin in Patients With c-MET-positive Stage IV or Recurrent Squamous Cell Lung Cancer (LUNG-MAP Sub-study S1400K, NCT03574753).
34745971	2021	Front Oncol	Journal Article	Q5_lung_chipseq_tf	Integrated Multiomics Analyses Revealing Different Molecular Profiles Between Early- and Late-Stage Lung Adenocarcinoma.
34686316	2021	Mol Cell	Journal Article;Research Support, N.I.H., Extramural	Q5_lung_chipseq_tf	Simple oligonucleotide-based multiplexing of single-cell chromatin accessibility.
34664989	2021	Epigenomics	Editorial;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.	Q5_lung_chipseq_tf	Beyond the transcription factor: the under-studied role of epigenomics in lung differentiation.
34513309	2021	Mol Ther Nucleic Acids	Journal Article	Q5_lung_chipseq_tf	Chromatin accessibility regulates chemotherapy-induced dormancy and reactivation.
33423291	2021	Clin Exp Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q5_lung_chipseq_tf	IRF5 regulates airway macrophage metabolic responses.
33323974	2021	Oncogene	Journal Article;Research Support, Non-U.S. Gov't	Q5_lung_chipseq_tf	STAT3 promotes melanoma metastasis by CEBP-induced repression of the MITF pathway.
39220670	2021	Wellcome Open Res	Journal Article	Q6_gwas_lung_regulatory	Genome-wide association study of susceptibility to hospitalised respiratory infections.
35069531	2021	Front Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Myeloid Fbxw7 Prevents Pulmonary Fibrosis by Suppressing TGF-β Production.
35024308	2021	Acta Pharm Sin B	Journal Article	Q8_ipf_tf	Proteomics and metabolic phenotyping define principal roles for the aryl hydrocarbon receptor in mouse liver.
35008597	2021	Int J Mol Sci	Journal Article;Review	Q8_ipf_tf	The Hedgehog Signaling Pathway in Idiopathic Pulmonary Fibrosis: Resurrection Time.
34972106	2021	PLoS One	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Identification of a distal RXFP1 gene enhancer with differential activity in fibrotic lung fibroblasts involving AP-1.
34963461	2021	Respir Res	Journal Article	Q8_ipf_tf	HuR drives lung fibroblast differentiation but not metabolic reprogramming in response to TGF-β and hypoxia.
34734011	2021	Ann Transl Med	Journal Article	Q8_ipf_tf	Bioinformatic analysis of differentially expressed genes and pathways in idiopathic pulmonary fibrosis.
34542758	2021	Bull Exp Biol Med	Journal Article	Q8_ipf_tf	Mechanisms of Endothelial-to-Mesenchymal Transition Induction by Extracellular Matrix Components in Pulmonary Fibrosis.
34520400	2021	JCI Insight	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q8_ipf_tf	Dysregulated overexpression of Sox9 induces fibroblast activation in pulmonary fibrosis.
34386777	2021	Nat Aging	Journal Article;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, N.I.H., Extramural	Q8_ipf_tf	Restoration of SIRT3 gene expression by airway delivery resolves age-associated persistent lung fibrosis in mice.
34011367	2021	J Inflamm (Lond)	Journal Article	Q8_ipf_tf	Esomeprazole attenuates inflammatory and fibrotic response in lung cells through the MAPK/Nrf2/HO1 pathway.
33978489	2021	Am J Physiol Lung Cell Mol Physiol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Expression of serum response factor in the lung mesenchyme is essential for development of pulmonary fibrosis.
33919784	2021	Cells	Journal Article;Research Support, Non-U.S. Gov't;Review	Q8_ipf_tf	The Role of Macrophages in the Development of Acute and Chronic Inflammatory Lung Diseases.
33822772	2021	JCI Insight	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf	A CD44/Brg1 nuclear complex confers mesenchymal progenitor cells with enhanced fibrogenicity in idiopathic pulmonary fibrosis.
33777961	2021	Front Cell Dev Biol	Journal Article	Q8_ipf_tf	The Transcription Factor C/EBPβ Promotes HFL-1 Cell Migration, Proliferation, and Inflammation by Activating lncRNA HAS2-AS1 in Hypoxia.
33730605	2021	Biomed Pharmacother	Journal Article	Q8_ipf_tf	Inhibition of NF-κB by ACT001 reduces fibroblast activity in idiopathic pulmonary fibrosis.
33536061	2021	Stem Cell Res Ther	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	microRNA-186 in extracellular vesicles from bone marrow mesenchymal stem cells alleviates idiopathic pulmonary fibrosis via interaction with SOX4 and DKK1.
33485651	2021	J Allergy Clin Immunol	Journal Article;Research Support, Non-U.S. Gov't;Review	Q8_ipf_tf	IL-25 (IL-17E) in epithelial immunology and pathophysiology.
33031756	2021	Am J Pathol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Review	Q8_ipf_tf	Mechanical Feed-Forward Loops Contribute to Idiopathic Pulmonary Fibrosis.
32978308	2021	Eur Respir J	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf	Profibrotic function of pulmonary group 2 innate lymphoid cells is controlled by regnase-1.
32914382	2021	Inflammopharmacology	Comparative Study;Journal Article	Q8_ipf_tf	MiR-200a inversely correlates with Hedgehog and TGF-β canonical/non-canonical trajectories to orchestrate the anti-fibrotic effect of Tadalafil in a bleomycin-induced pulmonary fibrosis model.
35399819	2021	Phytomed Plus	Journal Article;Review	Q9_copd_asthma_tf	Insights into forsythia honeysuckle (Lianhuaqingwen) capsules: A Chinese herbal medicine repurposed for COVID-19 pandemic.
35002688	2021	Front Pharmacol	Journal Article	Q9_copd_asthma_tf	Host Factor Interaction Networks Identified by Integrative Bioinformatics Analysis Reveals Therapeutic Implications in COPD Patients With COVID-19.
34876009	2021	BMC Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	Repression of the expression of proinflammatory genes by mitochondrial transcription factor A is linked to its alternative splicing regulation in human lung epithelial cells.
34867937	2021	Front Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	The NF-κB Transcription Factor c-Rel Modulates Group 2 Innate Lymphoid Cell Effector Functions and Drives Allergic Airway Inflammation.
34765643	2021	Front Mol Biosci	Journal Article	Q9_copd_asthma_tf	Bromodomain Containing Protein 4 (BRD4) Regulates Expression of its Interacting Coactivators in the Innate Response to Respiratory Syncytial Virus.
34764646	2021	Int J Chron Obstruct Pulmon Dis	Journal Article	Q9_copd_asthma_tf	Immune Characteristics Analysis and Transcriptional Regulation Prediction Based on Gene Signatures of Chronic Obstructive Pulmonary Disease.
34285702	2021	Evid Based Complement Alternat Med	Journal Article	Q9_copd_asthma_tf	Transcriptomic Analysis Exploring the Molecular Mechanisms of Hanchuan Zupa Granules in Alleviating Asthma in Rat.
34257337	2021	Sci Rep	Journal Article;Research Support, N.I.H., Extramural	Q9_copd_asthma_tf	Network and co-expression analysis of airway smooth muscle cell transcriptome delineates potential gene signatures in asthma.
33816533	2021	Front Med (Lausanne)	Journal Article	Q9_copd_asthma_tf	Different Biological Pathways Between Good and Poor Inhaled Corticosteroid Responses in Asthma.
33761320	2021	Dev Cell	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	RNA demethylation by FTO stabilizes the FOXJ1 mRNA for proper motile ciliogenesis.
33642437	2021	Genes Genet Syst	Journal Article	Q9_copd_asthma_tf	Identification of a disease-specific gene expression profile of children with acute asthma by weighted gene co-expression network analysis.
33505132	2021	Indian J Clin Biochem	Journal Article	Q9_copd_asthma_tf	Expression of FOXP3 and GATA3 Transcription Factors Among Bronchial Asthmatics in Northern Population.
33495833	2021	Int J Mol Med	Journal Article	Q9_copd_asthma_tf	miR‑106b‑5p targeting SIX1 inhibits TGF‑β1‑induced pulmonary fibrosis and epithelial‑mesenchymal transition in asthma through regulation of E2F1.
33419394	2021	BMC Pediatr	Journal Article	Q9_copd_asthma_tf	Identification of pathogenic genes and transcription factors in respiratory syncytial virus.
32970332	2021	Biotechnol Bioeng	Journal Article;Research Support, Non-U.S. Gov't	Q9_copd_asthma_tf	Modeling of an immune response: Queuing network analysis of the impact of zinc and cadmium on macrophage activation.
35036134	2021	PeerJ	Journal Article	Q10_lung_cancer_tf_network	Identification of HMMR as a prognostic biomarker for patients with lung adenocarcinoma via integrated bioinformatics analysis.
34951253	2021	Zhongguo Zhong Yao Za Zhi	Journal Article	Q10_lung_cancer_tf_network	[Effect of "Hedyotis Diffusae Herba-Smilacis Glabrae Rhizoma" in treatment of lung adenocarcinoma based on network pharmacology].
34910688	2021	Aging (Albany NY)	Journal Article;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network	DNA methylation of ARHGAP30 is negatively associated with ARHGAP30 expression in lung adenocarcinoma, which reduces tumor immunity and is detrimental to patient survival.
34868230	2021	Front Genet	Journal Article	Q10_lung_cancer_tf_network	Weighted Gene Co-Expression Network Analysis and Treatment Strategies of Tumor Recurrence-Associated Hub Genes in Lung Adenocarcinoma.
34840672	2021	Comput Struct Biotechnol J	Journal Article	Q10_lung_cancer_tf_network	Identification of the susceptibility genes for COVID-19 in lung adenocarcinoma with global data and biological computation methods.
34832908	2021	Pharmaceuticals (Basel)	Journal Article	Q10_lung_cancer_tf_network	Repurposing of the ALK Inhibitor Crizotinib for Acute Leukemia and Multiple Myeloma Cells.
34774019	2021	BMC Cancer	Journal Article	Q10_lung_cancer_tf_network	MicroRNA-1915-3p inhibits cell migration and invasion by targeting SET in non-small-cell lung cancer.
34765600	2021	Front Cell Dev Biol	Journal Article	Q10_lung_cancer_tf_network	Transcriptional Repression of Ferritin Light Chain Increases Ferroptosis Sensitivity in Lung Adenocarcinoma.
34734017	2021	Ann Transl Med	Journal Article	Q10_lung_cancer_tf_network	Correlation of m6A methylation with immune infiltrates and poor prognosis in non-small cell lung cancer via a comprehensive analysis of RNA expression profiles.
34729113	2021	J Cancer	Journal Article	Q10_lung_cancer_tf_network	MiR-182-5p promotes the Metastasis and Epithelial-mesenchymal Transition in Non-small Cell Lung Cancer by Targeting EPAS1.
34658345	2021	Nan Fang Yi Ke Da Xue Xue Bao	Journal Article	Q10_lung_cancer_tf_network	[Chuanxiong Rhizoma inhibits brain metastasis of lung cancer through multiple active ingredients acting on multiple targets, pathways and biological functions].
34650921	2021	Front Oncol	Journal Article	Q10_lung_cancer_tf_network	A Systematic Analysis Identifies Key Regulators Involved in Cell Proliferation and Potential Drugs for the Treatment of Human Lung Adenocarcinoma.
34642392	2021	Sci Rep	Journal Article	Q10_lung_cancer_tf_network	Protein co-expression network-based profiles revealed from laser-microdissected cancerous cells of lung squamous-cell carcinomas.
34587437	2021	Crit Rev Eukaryot Gene Expr	Journal Article;Research Support, Non-U.S. Gov't	Q10_lung_cancer_tf_network	Comprehensive Analysis of Prognostic and Immune Infiltrates for RAD51 in Human Breast Cancer.
34540041	2021	Am J Transl Res	Journal Article	Q10_lung_cancer_tf_network	Comprehensive network analysis of different subtypes of molecular disorders in lung cancer.
34497755	2021	Front Oncol	Journal Article	Q10_lung_cancer_tf_network	Evaluation of the Oncogene Function of GOLPH3 and Correlated Regulatory Network in Lung Adenocarcinoma.
34422827	2021	Front Cell Dev Biol	Journal Article	Q10_lung_cancer_tf_network	N6-Methyladenosine-Regulated mRNAs: Potential Prognostic Biomarkers for Patients With Lung Adenocarcinoma.
34238250	2021	BMC Cancer	Journal Article	Q10_lung_cancer_tf_network	TBX5-AS1, an enhancer RNA, is a potential novel prognostic biomarker for lung adenocarcinoma.
35096638	2021	Front Cell Infect Microbiol	Journal Article;Research Support, Non-U.S. Gov't	Q12_pah_bpd_tf	Early Growth Response 1 Suppresses Macrophage Phagocytosis by Inhibiting NRF2 Activation Through Upregulation of Autophagy During Pseudomonas aeruginosa Infection.
34966541	2021	Pulm Circ	Journal Article	Q12_pah_bpd_tf	Phosphoproteomic analysis of lung tissue from patients with pulmonary arterial hypertension.
34809635	2021	BMC Pulm Med	Journal Article	Q12_pah_bpd_tf	The function role of ubiquitin proteasome pathway in the ER stress-induced AECII apoptosis during hyperoxia exposure.
34635097	2021	Cell Commun Signal	Journal Article;Research Support, Non-U.S. Gov't	Q12_pah_bpd_tf	Zinc-mediated activation of CREB pathway in proliferation of pulmonary artery smooth muscle cells in pulmonary hypertension.
34552771	2021	Arab J Urol	Journal Article	Q12_pah_bpd_tf	Current updates and future perspectives in the evaluation of azoospermia: A systematic review.
34368469	2021	Biochem Biophys Rep	Journal Article	Q12_pah_bpd_tf	Effect of pulsatile stretch on unfolded protein response in a new model of the pulmonary hypertensive vascular wall.
34360618	2021	Int J Mol Sci	Journal Article	Q12_pah_bpd_tf	Mucus Release and Airway Constriction by TMEM16A May Worsen Pathology in Inflammatory Lung Disease.
36403711	2022	Microb Pathog	Journal Article	Q2_scenic_lung	Exopolyphosphatases PPX1 and PPX2 from Mycobacterium tuberculosis regulate dormancy response and pathogenesis.
36286482	2022	J Virol	Journal Article;Research Support, N.I.H., Extramural	Q2_scenic_lung	Cellular Heterogeneity and Molecular Reprogramming of the Host Response during Influenza Acute Lung Injury.
36038770	2022	Mucosal Immunol	Journal Article	Q2_scenic_lung	Single-cell RNA transcriptomic analysis identifies Creb5 and CD11b-DCs as regulator of asthma exacerbations.
35911707	2022	Front Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Necroptosis Identifies Novel Molecular Phenotypes and Influences Tumor Immune Microenvironment of Lung Adenocarcinoma.
35849803	2022	Arthritis Rheumatol	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Epigenetic Regulation of Profibrotic Macrophages in Systemic Sclerosis-Associated Interstitial Lung Disease.
35739646	2022	Int J Exp Pathol	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung	MicroRNA-23a-3p promotes macrophage M1 polarization and aggravates lipopolysaccharide-induced acute lung injury by regulating PLK1/STAT1/STAT3 signalling.
35693071	2022	Am J Cancer Res	Journal Article	Q2_scenic_lung	MYBL2 accelerates epithelial-mesenchymal transition and hepatoblastoma metastasis via the Smad/SNAI1 pathway.
35412961	2022	Am J Respir Crit Care Med	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Response to Hypoxia and the Ensuing Dysregulation of Inflammation Impacts Mycobacterium tuberculosis Pathogenicity.
35222366	2022	Front Immunol	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Inactivation of AUF1 in Myeloid Cells Protects From Allergic Airway and Tumor Infiltration and Impairs the Adenosine-Induced Polarization of Pro-Angiogenic Macrophages.
35086844	2022	Eur Respir J	Editorial;Research Support, Non-U.S. Gov't;Comment	Q2_scenic_lung	Surfactant protein C mutations and familial pulmonary fibrosis: stuck in a loop on the scenic route.
35050837	2022	Am J Respir Crit Care Med	Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't	Q2_scenic_lung	Phase 2B Study of Inhaled RVT-1601 for Chronic Cough in Idiopathic Pulmonary Fibrosis: A Multicenter, Randomized, Placebo-controlled Study (SCENIC Trial).
36493756	2022	Cell	Journal Article	Q4_lung_atlas	A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates.
35722109	2022	Front Cardiovasc Med	Journal Article	Q4_lung_atlas	Single Cell Transcriptomic Analysis Reveals Organ Specific Pericyte Markers and Identities.
35698166	2022	Hum Genomics	Journal Article;Review;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q4_lung_atlas	From COVID to fibrosis: lessons from single-cell analyses of the human lung.
35658027	2022	J Clin Oncol	Editorial;Comment	Q4_lung_atlas	Lung-MAP: A Collaborative Roadmap to Improve Cancer Outcomes.
35658002	2022	J Clin Oncol	Clinical Trial, Phase II;Journal Article;Randomized Controlled Trial	Q4_lung_atlas	Phase II Randomized Study of Ramucirumab and Pembrolizumab Versus Standard of Care in Advanced Non-Small-Cell Lung Cancer Previously Treated With Immunotherapy-Lung-MAP S1800A.
35191503	2022	Nucleic Acids Res	Journal Article;Research Support, Non-U.S. Gov't	Q4_lung_atlas	CellDART: cell type inference by domain adaptation of single-cell and spatial transcriptomic data.
35086829	2022	Eur Respir J	Journal Article;Review;Research Support, Non-U.S. Gov't	Q4_lung_atlas	The discovAIR project: a roadmap towards the Human Lung Cell Atlas.
34936882	2022	Dev Cell	Dataset;Journal Article;Research Support, N.I.H., Extramural	Q4_lung_atlas	A census of the lung: CellCards from LungMAP.
34808340	2022	Ann Oncol	Journal Article;Research Support, Non-U.S. Gov't;Review	Q4_lung_atlas	A state-of-the-art review of stratified medicine in cancer: towards a future precision medicine strategy in cancer.
34752721	2022	Am J Respir Crit Care Med	Journal Article;Research Support, N.I.H., Extramural	Q4_lung_atlas	Proteomic Analysis of Human Lung Development.
36062885	2022	Physiol Genomics	Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.	Q5_lung_chipseq_tf	Integrated genomics approaches identify transcriptional mediators and epigenetic responses to Afghan desert particulate matter in small airway epithelial cells.
35380939	2022	Am J Respir Cell Mol Biol	Journal Article;Research Support, N.I.H., Extramural	Q5_lung_chipseq_tf	Ethanol Consumption Induces Nonspecific Inflammation and Functional Defects in Alveolar Macrophages.
35296236	2022	BMC Genomics	Journal Article	Q5_lung_chipseq_tf	Extensive evaluation of ATAC-seq protocols for native or formaldehyde-fixed nuclei.
35228897	2022	Mol Ther Nucleic Acids	Journal Article	Q5_lung_chipseq_tf	DNA topoisomerase inhibition with the HIF inhibitor acriflavine promotes transcription of lncRNAs in endothelial cells.
